                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4252,                 4.5441,                 4.1646,                0.00394,                0.38369,                0.00419,                0.00126,                 3.0126,                 4.0112,                 4.0317,             0.00041016,             0.00041016,             0.00041016
                      2,                 3.1274,                  4.215,                 3.8356,                0.01248,                0.33418,                0.00721,                0.00177,                 2.9199,                 4.7077,                 3.8109,             0.00081864,             0.00081864,             0.00081864
                      3,                 2.8393,                 4.0043,                 3.4579,                0.00931,                0.27546,                0.01034,                0.00295,                 2.5899,                 9.2644,                 3.3028,              0.0012189,              0.0012189,              0.0012189
                      4,                 2.6447,                 3.7868,                 3.2428,                0.50389,                   0.14,                0.01302,                0.00443,                 2.5914,                 6.5274,                 3.2345,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.5495,                 3.6033,                 3.0844,                 0.0352,                0.32064,                0.02196,                0.00252,                 2.4607,                 5.0995,                  3.224,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.4446,                 3.4578,                 2.9898,                0.06408,                0.22418,                0.03756,                0.01032,                 2.3705,                 6.3763,                 3.0744,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.3129,                 3.2932,                 2.8764,                 0.7033,                   0.11,                0.08548,                0.03482,                 2.1974,                 4.9672,                 2.9389,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.2023,                 3.1748,                 2.7711,                0.56865,                   0.06,                0.08231,                0.03253,                 2.2212,                 4.7322,                  2.945,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.1179,                 3.0546,                 2.6982,                0.94204,                   0.05,                0.07765,                0.03393,                 2.1639,                 4.8369,                  2.919,               0.001151,               0.001151,               0.001151
                     10,                 2.0573,                  2.948,                 2.6488,                0.57082,                   0.06,                0.05566,                0.02974,                 2.0503,                  5.489,                 2.8306,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.9656,                 2.7672,                 2.5342,                0.58353,                    0.1,                 0.0836,                0.03013,                 1.8547,                 4.5515,                 2.6035,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.9112,                 2.6597,                 2.4554,                 0.6299,                   0.06,                0.05434,                0.01984,                 1.9026,                 5.4718,                 2.6674,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8258,                 2.5311,                 2.4014,                0.67096,                   0.11,                 0.2006,                0.08631,                 1.9251,                 3.8767,                 2.6561,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8221,                 2.4853,                 2.3711,                0.70501,                0.16685,                0.17832,                0.08943,                 1.9992,                 4.2976,                 2.7253,              0.0010891,              0.0010891,              0.0010891
