                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0297,                 2.2823,                 1.3569,                0.53196,                 0.5426,                0.51587,                0.31934,                 1.3404,                 2.3968,                 1.7166,             0.00054881,             0.00054881,             0.00054881
                      2,                 1.1576,                 1.7423,                  1.391,                0.62552,                0.56998,                0.60412,                0.36247,                  1.467,                 2.2178,                 1.9543,              0.0010935,              0.0010935,              0.0010935
                      3,                 1.1952,                 1.6075,                  1.426,                0.43411,                0.48023,                0.39618,                 0.1984,                 1.6499,                 2.9902,                 1.9758,              0.0016273,              0.0016273,              0.0016273
                      4,                 1.2052,                 1.4859,                 1.4298,                  0.683,                0.58278,                0.62377,                0.36692,                 1.5167,                 1.8765,                 1.9502,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1763,                 1.3641,                 1.3991,                0.74546,                0.69449,                0.76601,                0.50538,                 1.2051,                 1.2619,                 1.5537,               0.001601,               0.001601,               0.001601
                      6,                 1.1398,                 1.2357,                 1.3692,                0.76128,                0.59245,                0.70771,                0.40486,                 1.5063,                 1.5266,                   1.83,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.152,                 1.1998,                 1.3766,                0.73733,                0.71353,                0.77462,                0.51265,                  1.231,                 1.1885,                 1.6008,               0.001568,               0.001568,               0.001568
                      8,                 1.1261,                  1.153,                 1.3681,                0.77555,                0.74196,                0.75459,                0.44649,                 1.3572,                 1.6131,                 1.6353,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0771,                 1.0666,                 1.3251,                0.85972,                0.76858,                0.86054,                0.58383,                 1.1565,                 0.9908,                 1.4953,               0.001535,               0.001535,               0.001535
                     10,                 1.0806,                 1.0437,                 1.3274,                0.72481,                0.68192,                0.73572,                0.50426,                 1.2853,                 1.2618,                  1.592,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0893,                 1.0502,                 1.3319,                0.86211,                0.63066,                0.75286,                0.50244,                 1.2317,                 1.3362,                 1.5715,               0.001502,               0.001502,               0.001502
                     12,                  1.058,                 1.0222,                 1.3208,                  0.856,                0.78893,                0.86933,                0.60834,                 1.1411,                0.98701,                 1.4645,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0242,                0.98444,                 1.2899,                0.87544,                 0.7792,                0.85247,                 0.5788,                 1.1779,                0.94405,                  1.509,               0.001469,               0.001469,               0.001469
                     14,                 1.0061,                0.93454,                 1.2831,                0.72699,                0.80492,                0.83831,                0.55718,                 1.1472,                 1.1927,                 1.4846,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0043,                0.97091,                 1.2918,                 0.7719,                0.77284,                0.84183,                0.59273,                 1.1284,                0.95884,                 1.5239,               0.001436,               0.001436,               0.001436
                     16,                0.95733,                0.90359,                 1.2545,                0.90088,                0.75579,                0.87858,                0.60896,                 1.0741,                0.90176,                 1.4173,              0.0014195,              0.0014195,              0.0014195
